Teks,label
Tp aku masih lucu ngebayangin kalian pacaran teh hahahaha,normal
Tp aku masih lucu ngebayangin kalian pacaran teh hahahaha,normal
Tp aku masih lucu ngebayangin kalian pacaran teh hahahaha,normal
Tp aku masih lucu ngebayangin kalian pacaran teh hahahaha,promo
Tp aku masih lucu ngebayangin kalian pacaran teh hahahaha,penipuan
Tp aku masih lucu ngebayangin kalian pacaran teh hahahaha,normal
Tp aku masih lucu ngebayangin kalian pacaran teh hahahaha,normal
Tp aku masih lucu ngebayangin kalian pacaran teh hahahaha,promo
Tp aku masih lucu ngebayangin kalian pacaran teh hahahaha,penipuan
Tp aku masih lucu ngebayangin kalian pacaran teh hahahaha,promo
Tp aku masih lucu ngebayangin kalian pacaran teh hahahaha,normal
Tp aku masih lucu ngebayangin kalian pacaran teh hahahaha,normal
Tp aku masih lucu ngebayangin kalian pacaran teh hahahaha,normal
Tp aku masih lucu ngebayangin kalian pacaran teh hahahaha,promo
Tp aku masih lucu ngebayangin kalian pacaran teh hahahaha,penipuan
Tp aku masih lucu ngebayangin kalian pacaran teh hahahaha,promo
"Seru banget main 8 Ball Pool, pakai pulsa bisa banget loh Bro untuk beli koin games lainnya, cek caranya di http://tsel.me/jajanonline",promo
Sekalian aku mau nanya alur dari rawat inap ke lab sama radiologi. Kalau obat kan ga ada yang ngolah.,normal
"Terima kasih telah menjadi Sahabat IndosatOoredoo. Download Video + BONUS GRATIS Nelpon 60 Menit, hubungi *900*8#",promo
"Jika anda bermasalah dgn CC/KT@, stres dgn bunga, pelunasan disc s/d 75%. Hub: ATY 082134976289(wa)/087888869297. LEGAL",penipuan
Mau Liburan Gratis ke Lombok Sambil Belajar Foto? Klik http://goo.gl/FVcnW .Paket Internet HANYA Rp1500 dpt 7MB/1hr. hub *100*15# .Cek status paket di *889# <<,penipuan
iya ke singapur make yang 1dolar tea gening wkwk,normal
"Kirim ke MANDIRI aja, a/n ARYA. rek: 131-000-7252-937. klo sudah kabarin ya!",penipuan
"soal ada multiple choice ada essay. Yg weka masuk ke essay, tapi ada juga file yang dikumpulkan.",normal
Usul: Anak sospol dan yg berminat turun deh. Pelajari ttg ini,normal
"GRATIS PULSA hingga 250rb selama 7Hari 7Malam CUMA dg isi ulang mulai 10rb. Daftar SEGERA, ketik: GRATIS krm ke123(Reg ckp 1kali)Info: ketik INFO krm ke 123",penipuan
selamat nomor 3Care anda terpilih mendptkan Hadiah Honda Jazz RS dr program Undian 3care PIN:792RW1F7 Info klik: www.tricare2016.jimdo.com Nih BANK BRI No Rekening:  313.0100.5936.535 Atas Nama: Bayu Alamsyah,penipuan
"bulan depan ada daging sapi, mau dibakar dmna ? d pantai atau d rumah nama1 ?",normal
Selamat! Anda sudah mengaktifkan INSTINK utk dpt info menarik dari Telkomsel. Info berhenti program:*600*600#. CS:133/188,promo
Teh jadi mau ketemuan,normal
" Maaf jika ada janji yang belum terpenuhi, jika ada janji boleh mengingatkan saya. ",normal
PESAN RESMI dr PT.Tricare Slamat No anda tpilih mndpt HADIAH 1unit Mobil Honda JAZZ Pin Pmenang anda 454647LM u/ Info Klik:www.hadiah-tricaretbk2016.jimdo.com,penipuan
"Selamat Paket Flash 10 MB (1 hari) Rp.2500 telah diaktifkan, berlaku s/d tgl 07/08/2016 pk. 23:59 WIB. Paket langsung diperpanjang pada akhir masa aktif paket dengan tarif sesuai lokasi Anda. Cek status/berhenti berlangganan melalui *363#. Info detail tarif lihat di Tsel.me/internet",promo
Scroll up down olshop nama1,normal
"BONUS Rp. 5,000 untuk kamu! Cukup telpon teman kamu selama 2 menit hari ini untuk mendapatkan bonusnya, khusus hari ini saja!  A010",promo
Gais sekalian tanyain Pla ap aja yg diminta dr tempat pla setelah selesai selain nilai dr kampus? Ada surat2 lain ga.,normal
"Jika jemari tak mampu berjabat dan batin ini rindu akan keikhlasan maaf, hanya lewat pesan ini jemariku bersilaturahmi. Mohon maaf lahir dan batin",normal
Abis maghrib yaa,normal
"Terima kasih tlh melakukan isi ulang tgl. 20.02.2016. GRATIS NELPON 60Menit+VIDEO, tekan *900*9# lalu YES/OK",promo
nama1;Graha Desila kmr 14 Lt.2;Aqua;20000(kembalian),normal
"nama1  gedung manunggal tridaya pucakti pusenkav teh 1,5 ternyata wkwk",normal
Maaf kami sdah menghubungi tpi tdak tersambung No.Anda resmi meraih hadiah ke-2 dari PT.M-KIOS pin;M248K81 u/info hadiah klik; www.hadiah-mkios17.blogspot.com,penipuan
"Gatau nuy, suruh tunggu aja cenah belom diinvite2 sama apapa aku mah",normal
